seed,blocks,p20,upper,high,p19Score,coarse,record60Pass,record80Pass,source
5446987366251420055,55570,12.0,43.0,20.0,8.539011183,484.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
-6879836612026505273,55465,2.0,19.0,17.0,20.064542243,423.0,False,False,2026-07-07_19-41-54_overnight_gui_30000000000
-8647368244968146052,55397,12.0,49.0,24.0,7.088913961,475.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
815756564133803317,55049,12.0,50.0,15.0,5.72985578,446.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
6929166112815009932,54811,10.0,52.0,29.0,9.823950607,460.0,True,False,2026-07-11_current
-1528015942915152540,54628,10.0,42.0,22.0,15.700218334,509.0,True,False,2026-07-11_current
4395129007369721760,54601,3.0,16.0,13.0,8.281084442,441.0,False,False,2026-07-09_20-13-07_overnight_gui_30000000000
5676861771503843711,54580,21.0,61.0,38.0,18.525569908,570.0,True,False,2026-07-11_current
-6698147641253548090,54539,17.0,81.0,22.0,7.594373632,451.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
-4171152431118466376,54538,4.0,20.0,16.0,11.995607207,468.0,True,False,2026-07-11_current
2380642769131999326,54403,12.0,43.0,17.0,7.487775803,497.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
2655009832015523178,54385,8.0,33.0,21.0,10.798546442,485.0,True,False,2026-07-11_current
3978400871218806255,54270,5.0,19.0,13.0,9.653319533,435.0,True,False,2026-07-11_current
2442101719148382390,54071,4.0,14.0,10.0,7.87811607,449.0,False,False,2026-07-08_09-46-29_overnight_gui_300000000000
2595201509826416615,53999,15.0,50.0,18.0,6.379321869,470.0,True,False,2026-07-11_current
-5606148120060850864,53923,3.0,18.0,14.0,10.939560979,469.0,False,False,2026-07-07_07-20-13_overnight_gui_3000000000000
827537149107880707,53792,6.0,19.0,19.0,13.004401713,481.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
-5164949177534612974,53667,19.0,96.0,24.0,7.688430018,430.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
8438198187254245457,53618,12.0,47.0,26.0,8.573036925,493.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
7868852202049398783,53449,3.0,20.0,19.0,14.954564838,560.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
143653186170327910,53091,19.0,66.0,13.0,4.963048404,449.0,False,False,2026-07-07_07-20-13_overnight_gui_3000000000000
-3349188331105356163,53070,14.0,60.0,26.0,8.387147442,477.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
5967204128422269768,53012,10.0,40.0,21.0,9.14070547,406.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
6475442471021692792,53009,7.0,27.0,16.0,14.997898072,511.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
5629873447186910866,52938,15.0,46.0,15.0,5.429660296,442.0,True,False,2026-07-11_current
-3133488301920334630,52778,6.0,22.0,17.0,8.798080125,496.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
7046127860756453416,52755,6.0,24.0,12.0,6.332859862,466.0,False,False,2026-07-11_current
7808765351142021186,52725,12.0,47.0,17.0,7.046115262,462.0,True,False,2026-07-11_current
-7791323118192029707,52685,9.0,34.0,20.0,9.752581931,414.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
1193062037354450784,52592,16.0,57.0,22.0,7.742439835,483.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
-5810069795170679497,52270,6.0,36.0,13.0,6.488843091,451.0,False,False,2026-07-11_current
-2770072313780281258,52247,9.0,30.0,22.0,14.434850629,468.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
-5897439864684307912,52224,11.0,56.0,15.0,4.903813071,455.0,True,False,2026-07-09_01-20-19_overnight_gui_300000000000
3239689811276998899,52004,12.0,36.0,13.0,6.092874747,489.0,False,False,2026-07-08_09-46-29_overnight_gui_300000000000
145542140654410410,51983,4.0,13.0,13.0,10.807548899,464.0,False,False,2026-07-08_09-46-29_overnight_gui_300000000000
-5135136021134461606,51979,10.0,44.0,20.0,7.397032465,442.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
4496944483800051741,51935,10.0,53.0,25.0,8.681491391,433.0,True,False,2026-07-11_current
-6084739314404284165,51857,1.0,16.0,16.0,13.056318418,441.0,False,False,2026-07-08_01-38-21_overnight_gui_300000000000
-4519346446328696015,51811,7.0,20.0,16.0,7.626971594,442.0,True,False,2026-07-07_19-41-54_overnight_gui_30000000000
4292854962268099483,51470,22.0,86.0,19.0,5.396800981,443.0,False,False,2026-07-09_08-56-05_overnight_gui_30000000000
3442699976997779500,51415,10.0,39.0,22.0,10.180837537,429.0,True,False,2026-07-11_current
8283292822477931005,51412,6.0,25.0,17.0,9.934621394,530.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
8378240257109751209,51358,11.0,43.0,30.0,11.634339787,430.0,True,False,2026-07-10_15-44-29_overnight_gui_30000000000
-3131569824763602749,51306,9.0,36.0,16.0,6.622154743,438.0,True,False,2026-07-09_01-20-19_overnight_gui_300000000000
6325996921159334517,51300,7.0,30.0,14.0,6.192959528,482.0,False,False,2026-07-09_20-13-07_overnight_gui_30000000000
377673336900374467,51234,16.0,64.0,21.0,6.537775474,470.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
6008507192901297715,51220,7.0,29.0,17.0,9.548413176,462.0,True,False,2026-07-09_08-56-05_overnight_gui_30000000000
7787503837861064989,51042,5.0,29.0,16.0,8.929830545,515.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
8726894581503127596,51041,3.0,17.0,15.0,14.064119551,446.0,False,False,2026-07-11_current
-1836498667796418249,51035,18.0,58.0,28.0,8.276959988,443.0,True,False,2026-07-07_19-41-54_overnight_gui_30000000000
-241134352001536863,51021,8.0,30.0,19.0,10.723255905,402.0,True,False,2026-07-11_current
7127611037030930838,51003,15.0,54.0,21.0,6.58482749,441.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
2746477138625132031,50979,4.0,17.0,12.0,8.895576747,369.0,False,False,2026-07-11_current
-5409383017915681340,50956,5.0,23.0,23.0,16.65550682,463.0,True,False,2026-07-09_08-56-05_overnight_gui_30000000000
-5289541130202168270,50833,5.0,22.0,14.0,8.290662171,507.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
-503285086876891491,50824,5.0,22.0,15.0,9.442302053,435.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
4707386089207311214,50599,9.0,26.0,13.0,7.030955141,410.0,True,False,2026-07-11_current
6761378693342763421,50370,11.0,66.0,28.0,8.197648486,446.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
7810037851536800347,50366,3.0,18.0,18.0,14.989251716,473.0,False,False,2026-07-09_01-20-19_overnight_gui_300000000000
-929427699168780307,50333,14.0,64.0,10.0,4.362809478,406.0,False,False,2026-07-10_15-44-29_overnight_gui_30000000000
-3157428692149840460,50212,24.0,102.0,19.0,6.553353551,416.0,False,False,2026-07-09_20-13-07_overnight_gui_30000000000
1771505455753525061,50193,9.0,31.0,26.0,23.329394383,473.0,True,False,2026-07-11_current
4234557628288720534,50190,12.0,45.0,28.0,22.192947922,486.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
42637279323682657,50177,12.0,36.0,15.0,7.167621714,456.0,True,False,2026-07-11_current
-3919572404506049709,50098,8.0,47.0,19.0,7.614895044,435.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
3622133706546708350,50048,11.0,42.0,23.0,8.156028285,421.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
-8277656372219959615,113331,3,19,20,6.70,918,True,True,2026-07-11_22-19-36_conservative_lower_bounds
