sourceRun,seed,blocks,nativeP20,nativeUpper,nativeHigh,nativeP19Score,nativeP19Extreme,nativeFullY112,nativeY96Largest,nativeCoarse
670M,2825554918681882901,33473,33.0,138.0,25.0,6.748086867,False,13.0,8.0,274.0
670M,-5137522717922523691,33423,4.0,19.0,16.0,9.355193614,False,1.0,9.0,392.0
670M,1146627606062809656,33398,6.0,17.0,17.0,13.48167225,True,4.0,17.0,292.0
670M,-4809678931085267462,33390,4.0,13.0,11.0,13.144992276,False,4.0,4.0,322.0
670M,2615180970921138171,33378,14.0,39.0,19.0,8.151542619,True,10.0,13.0,299.0
670M,-3460482791353500940,33363,13.0,50.0,32.0,21.211839595,False,19.0,13.0,295.0
670M,-4978463952106126619,33198,6.0,20.0,11.0,8.150911538,False,3.0,5.0,308.0
670M,8669006550216045894,33186,7.0,31.0,20.0,9.83861817,True,4.0,14.0,317.0
670M,-5701485999939321110,33160,6.0,28.0,18.0,7.822264488,True,0.0,8.0,333.0
670M,7615368490594497937,33155,6.0,20.0,15.0,11.427829599,False,5.0,4.0,312.0
670M,-3291593576237680019,33124,11.0,49.0,17.0,6.823488634,False,5.0,5.0,264.0
670M,4598456969575972743,33113,3.0,15.0,14.0,13.747880471,False,0.0,5.0,320.0
670M,4563687035562904013,33070,8.0,29.0,11.0,5.137181535,False,0.0,7.0,286.0
670M,671042039942059523,32972,13.0,45.0,14.0,5.5541626,False,6.0,5.0,252.0
31.9M-independent,2811287070184612115,32894,10.0,43.0,19.0,8.245611182,False,10.0,10.0,313.0
670M,-2254688885494477654,32873,6.0,20.0,16.0,10.519229442,False,2.0,13.0,316.0
670M,6556282023090519034,32844,5.0,16.0,11.0,7.482175909,False,4.0,9.0,319.0
670M,-8949823501382983059,32839,9.0,45.0,14.0,6.497469706,False,5.0,7.0,321.0
670M,3132242664558815235,32720,7.0,30.0,12.0,5.982833612,False,1.0,6.0,278.0
670M,6594956401411342346,32660,11.0,54.0,22.0,7.839023171,False,5.0,6.0,273.0
670M,6771993595888067091,32616,11.0,47.0,22.0,7.301024505,True,0.0,3.0,337.0
670M,-8203980910106456927,32552,18.0,85.0,27.0,7.588007939,False,10.0,9.0,304.0
670M,-7305268869895622235,32526,3.0,18.0,14.0,10.634243334,False,0.0,7.0,314.0
670M,592402175719325973,32491,1.0,11.0,9.0,6.235180618,False,4.0,5.0,292.0
670M,-2665978795261748860,32455,9.0,34.0,12.0,6.316309001,False,2.0,5.0,297.0
670M,-8527557384239901984,32405,12.0,49.0,25.0,9.142793703,False,5.0,9.0,310.0
670M,1414407463914579840,32384,2.0,16.0,14.0,13.399094358,False,7.0,12.0,192.0
670M,-6661077544068167382,32318,10.0,27.0,19.0,8.919382564,True,0.0,8.0,350.0
670M,5260390466424882406,32292,2.0,13.0,11.0,8.817002443,False,1.0,8.0,270.0
670M,2563645067916942614,32234,10.0,41.0,16.0,6.869632927,False,7.0,11.0,302.0
670M,8175186258140033577,32220,5.0,34.0,16.0,6.871251532,False,7.0,11.0,306.0
670M,8276544167786195579,32172,2.0,16.0,13.0,14.433363428,False,3.0,7.0,266.0
670M,-2103339554623651472,32132,12.0,46.0,16.0,7.39713834,False,0.0,10.0,273.0
670M,-3299945384563581314,32100,9.0,40.0,17.0,6.731633485,True,0.0,14.0,314.0
670M,-1374293038370143083,32088,13.0,42.0,17.0,6.859346897,False,5.0,6.0,335.0
670M,4531702418001006728,32064,8.0,37.0,23.0,10.018920587,False,2.0,5.0,273.0
670M,6968771155189435523,32007,7.0,41.0,16.0,7.348362387,False,8.0,9.0,274.0
670M,-661630762072638218,32002,23.0,94.0,42.0,7.826228693,False,5.0,11.0,266.0
31.9M-independent,2144870608494543198,31973,9.0,43.0,11.0,5.130681884,False,7.0,4.0,264.0
670M,8173703959517415445,31923,15.0,56.0,24.0,8.011576851,False,5.0,11.0,305.0
670M,-6393218495509818609,31824,9.0,36.0,12.0,6.109302794,False,6.0,11.0,283.0
670M,8762426702944402399,31795,13.0,44.0,18.0,6.050598225,False,7.0,13.0,331.0
670M,-8940922108879910467,31731,3.0,20.0,17.0,12.395570934,False,0.0,7.0,275.0
670M,-2014455146648379815,31731,5.0,19.0,12.0,8.104340492,False,6.0,9.0,294.0
670M,-2905689077307715443,31712,18.0,66.0,20.0,7.313693732,False,8.0,11.0,320.0
670M,-1008843741500881643,31704,14.0,69.0,24.0,7.904816026,True,5.0,16.0,289.0
670M,-1032497604816764465,31656,9.0,49.0,28.0,12.405744421,False,6.0,10.0,286.0
670M,-5923022952290821270,31579,12.0,53.0,16.0,6.321782291,False,6.0,10.0,298.0
670M,-5715910874883446227,31551,20.0,79.0,38.0,14.812808807,False,11.0,9.0,288.0
670M,-6641908521348221317,31481,10.0,40.0,21.0,9.712323473,False,6.0,7.0,273.0
670M,1674156530261205666,31451,4.0,19.0,12.0,7.91510083,False,6.0,8.0,312.0
670M,4967933478321250743,31385,10.0,35.0,19.0,9.044877647,False,3.0,9.0,304.0
670M,-861799997083485918,31357,21.0,85.0,20.0,5.750893089,False,0.0,8.0,262.0
670M,-4280141954739939951,31334,15.0,46.0,17.0,6.430224883,False,4.0,6.0,278.0
670M,2348713511588757347,31301,10.0,42.0,14.0,6.032069811,False,7.0,8.0,303.0
670M,-365859409426759111,31298,3.0,14.0,11.0,8.126944408,False,6.0,6.0,266.0
670M,5801828670530146220,31134,6.0,32.0,18.0,9.365079722,False,9.0,10.0,299.0
670M,878626974680590369,31116,10.0,53.0,15.0,6.06744571,False,6.0,9.0,256.0
670M,8001350863046068001,31028,4.0,18.0,10.0,5.695104966,False,1.0,6.0,273.0
670M,-5258181790159256321,30993,15.0,52.0,19.0,6.436771375,False,5.0,6.0,233.0
670M,-788711836216122661,30985,5.0,17.0,12.0,7.707997684,False,1.0,5.0,313.0
670M,6422495930597811668,30956,12.0,51.0,25.0,9.154721801,False,1.0,7.0,335.0
670M,3010481545770888315,30956,3.0,16.0,15.0,21.868484308,False,0.0,3.0,269.0
670M,-8111302239276258689,30927,11.0,50.0,25.0,10.047366825,False,6.0,12.0,305.0
670M,2711647514261152525,30779,4.0,21.0,13.0,7.771364896,False,0.0,8.0,296.0
670M,-1274220745434494976,30773,8.0,23.0,13.0,7.233733186,False,2.0,6.0,287.0
670M,-1619033437028223115,30727,20.0,79.0,33.0,8.105860796,False,4.0,9.0,281.0
670M,-6484801010293594625,30716,15.0,76.0,29.0,7.748597084,False,1.0,13.0,307.0
670M,-1185728253294437919,30683,13.0,34.0,20.0,10.652939888,False,1.0,11.0,332.0
670M,-1130726958856935900,30682,15.0,41.0,15.0,5.920751866,False,3.0,7.0,290.0
670M,-6153844431223115365,30673,11.0,39.0,12.0,4.996059602,False,3.0,4.0,256.0
670M,-7356019587551711531,30645,12.0,54.0,21.0,7.786194508,False,4.0,10.0,290.0
670M,1812913194350092349,30641,5.0,17.0,14.0,8.641345577,False,9.0,10.0,300.0
670M,8275227730460169230,30632,10.0,41.0,20.0,9.822451924,False,7.0,7.0,234.0
670M,-5793029670116552552,30624,12.0,48.0,11.0,4.700478763,False,1.0,4.0,338.0
670M,4550831306677425680,30599,22.0,93.0,31.0,7.836865422,False,9.0,8.0,242.0
670M,921498026939710761,30587,12.0,59.0,26.0,7.908624236,True,0.0,15.0,261.0
670M,6327887697304910901,30582,5.0,22.0,9.0,5.762398874,False,3.0,6.0,253.0
670M,2907825896132325723,30573,15.0,52.0,21.0,7.322044359,True,0.0,15.0,333.0
670M,-7604097080142678491,30552,5.0,25.0,24.0,18.565367589,True,0.0,2.0,311.0
670M,-2419839635619637077,30544,3.0,15.0,13.0,13.818216601,False,3.0,12.0,247.0
670M,-7870779703011064788,30439,23.0,98.0,22.0,6.866689577,False,7.0,8.0,265.0
670M,942522751904171269,30431,11.0,58.0,19.0,7.502301857,False,4.0,5.0,270.0
670M,-4656343824888817047,30380,16.0,73.0,21.0,6.630355355,False,2.0,8.0,239.0
670M,-3887895885084406807,30373,4.0,22.0,17.0,14.932312413,False,7.0,6.0,273.0
670M,-5619620169598488835,30364,9.0,23.0,15.0,9.929580284,False,0.0,6.0,257.0
670M,8981653222720781608,30348,13.0,44.0,16.0,5.557349136,True,9.0,14.0,306.0
670M,8135431876720495133,30316,21.0,88.0,34.0,7.907427213,False,7.0,9.0,273.0
670M,-5193332310243631653,30306,16.0,77.0,28.0,7.468137532,False,6.0,8.0,274.0
670M,-6864908832061416374,30282,4.0,16.0,12.0,8.020254988,False,4.0,11.0,284.0
670M,-437974246419747581,30263,21.0,88.0,25.0,8.041497811,False,7.0,10.0,306.0
670M,9010140254328697884,30261,5.0,18.0,11.0,5.955304838,False,2.0,5.0,282.0
670M,-6913503102648122711,30210,6.0,35.0,22.0,14.607810424,False,8.0,5.0,263.0
670M,4341382635664990214,30210,5.0,24.0,16.0,10.348924871,False,5.0,8.0,286.0
670M,1885129740703925998,30195,5.0,18.0,11.0,7.777968626,False,6.0,8.0,213.0
670M,7583966752945885628,30193,3.0,24.0,12.0,6.791559481,False,6.0,7.0,296.0
670M,381495023030450872,30183,8.0,48.0,21.0,7.906160971,False,9.0,7.0,262.0
670M,8741224029728999382,30143,4.0,22.0,12.0,8.949533018,False,4.0,9.0,263.0
670M,6156032184451820837,30134,1.0,12.0,6.0,5.382305888,False,2.0,4.0,277.0
670M,-2537980696278487140,30127,6.0,28.0,8.0,5.113461817,False,0.0,1.0,289.0
670M,-7679914552028464441,30102,10.0,51.0,15.0,5.457498577,False,0.0,7.0,262.0
